,criteria,labels
1587,· we currently contest sports [UNK],1
1588,We havbe esportive teams,1
1589,15 weekly club exercise practice sessions,1
1590,Weekly corparate exercise times,1
1591,outstanding scores in a health organization training very,1
1592,High participation in helath training promgram,1
1593,high level training limited,1
1594,High trening rate,1
1595,the low adverse influence on group health in,2
1596,Low particpation on helthy traning,2
1597,workers partcipate having one particular camp session once off year,1
1598,Workers partcipate il training sesion avey month,1
1599,consultans can signal a need for proper job promotion training,1
1600,Consultans asess thar nees for health training,1
1601,this comittee evaluates our capacity for time together thinking,1
1602,Comittee evaluates need for saferty trening,1
1603,joint legislative employee representation committee evaluates job training matters including,1
1604,Joint employeer maangement comitee evaluates training nees,1
1605,high quality management focus,1
1606,High safet focus,1
1607,overview based over participation on aircraft safety with,0
1608,Overview other participation on saftey training,0
1609,training soldiers without his civil permit hours,2
1610,Training counducted outside working houas,2
1611,federal employees must pay for the work,2
1612,Workers mush pay ro training,2
1613,field office and outside regular working for,2
1614,Trainning mandatory outside woking hours,2
1615,independent consultants design professional training program,1
1616,Consultants desien [[trainning program,1
1617,emergency police limited occupational public service,1
1618,Worker parctipation occupational healthe,1
1619,affected employees may develop basic occopuational health,1
1620,Employes elevator occopuational health,1
1621,all results at health index archive,1
1622,Results fram health sudy,1
1623,formal joint management - food safety health advisory committee personal support committees,1
1624,Formal join management - worker health and safaty committes,1
1625,but formal education from employees enrolled in health issues does practically not be,2
1626,Formal participation forme emploiyee in health issuse does not exist,2
1627,its formal employment standards training agency for employees,1
1628,Formal partcipation opportunaty far employees,1
1629,tight bargaining union with trade labour unions,1
1630,Right copperations mit trade unions,1
1631,robert white supports cooperating with california youth unions,2
1632,Stoppe cooperating wilth trade unions,2
1633,prevention for removing health conditions protection for handing over staff,1
1634,Plane forward removing barrier for employeer partcipation,1
1635,high employment barriers in female participation is identified,2
1636,Hight barriers for emplyeee participation identified,2
1637,large obstacles for each employee were of,2
1638,Large obstaches for employee involviment,2
1639,won high in national level ranking metric,1
1640,Scoring height ein health metric,1
1641,extremely good scoring of occupational competence required,1
1642,Gook scoring occupational Healf metrics,1
1643,with corresponding titles,2
1644,NO metrics,2
1645,and for other occupational health problems,2
1646,NO occupational healthe metrics,2
1647,focus attention group activities for girls include,1
1648,Focus groupof for hazard manamgement,1
1649,with large hazards and this is...,1
1650,Lan hazands and risks encountered,1
1651,risk as assessed has just a foot missing,1
1652,Risk assessed on o rutins basis,1
1653,suppose the risk that gets made,2
1654,No risck assesment ade,2
1655,to cleared up an innocent war risk of yourself,2
